Group,Description,Allies,Opps,Notable Bodies
AY/AYLESBURY ESTATE,"AY are a set based on the Aylesbury Estate in SE17, just off of the Walworth Road. Historically Aylesbury have been part of the Woolly Road/ OTB alliance with Peckham Boys/ Black Gang, however tensions started to rise around 2015 and once the Zone 2/ Moscow beef started, past history meant that AY completely sided with their SE17 allies.

The Aylesbury Estate has had a long history of deprivation, poverty, drug dealing, prostitution and robbery, going back to the 1960s, making it one of Britain’s most deprived council estates.","Moscow 17 (SE17/ Brandon Estate), Browning 17 (SE17/ Browning House), Harlem Spartans (SE11/ Kennington Park Estate), KuKu (SE11/ Black Prince Road)","YPB/HitSquad/Zone 2 (SE15/ Peckham), 410 (SW9/ Myatts Field), China Walk (SE11/ China Walk Estate) (defunct)",
BROWNING17,"Browning 17 are a gang from the Browning Estate located in SE17, behind the Walworth Road.

They are very low key and lots of their drills are unknown, largely due to the limited amount of music they have released. They share a very close alliance with Moscow 17 and AY. They are in fact so close to Moscow 17 and AY, all of them repping #17 (SE17), that it is not always clear which set the members belong to. This alliance between M17, B17, and AY is known as #17thKartel.","Moscow 17 (Brandon Estate), AY (Aylesbury Estate), Harlem Spartans (Kennington)",YPB/HS/Zone 2 (Peckham),
B-SIDE,"Bside, also known as 785, is a gang based in Bellingham, SE6. Historically they were mainly based in the Rushey Green and Milton Towers estates, and in more recent years, around Bellingham Green Park.

Historically, GMs from Bellingham would fall under the Catford branch of the Ghetto Boys, eventually becoming the Catford Wildcats (CWC). The CWC and Ghetto Boys would eventually develop a rivalry and become enemies. Gang members from Bellingham would later join Catford, Anti/ Anti-Shower, in opposition to the Ghetto Boys offshoot set, Shower.

Despite historic beef, the modern generation of Bellingham GMs have been much closer aligned to Ghetto Boys/ SHO and Turnham, however the rivalry with Grove Park and Penge continues.

Bside are known for being extremely active and one of the most violent gangs in south London."," 814/ SHO (Deptford), Block 6 (Catford), 23/ Blue Hills (Forest Hill), 26/ (Sydenham), AR (Turnham), 410 (Brixton)","Silwood Nation (Rotherhithe), Zone 2/ Hit Squad/ YPB (Peckham), M20 (Penge), SG (Grove Park), Monson (Deptford), O’Lanna (Lewisham)",
BLOCK 6,"Block 6, also known as Black Hand, and ANTI, are a gang from Catford, SE6. Originally part of the Catford Ghetto Boys, a group of these members would branch out in the early/ mid 90s and form their own independent set, Catford Wildcats (CWC). The CWC and Ghetto Boys would eventually develop a rivalry and become enemies.

This rivalry would be seen even stronger in the 2000s, with the group taking on a new identity, Anti-Shower or Anti, in response to the Ghetto Boys offshoot, Shower, and would be a very active in the Borough of Lewisham.

Despite having a fierce rivalry with Ghetto Boys in Deptford, recent years have seen the younger generations calm, however the beef with SG and Penge has continued.","785/Bside (Bellingham), 814/SHO (Deptford), AR (Turnham), 410 (Brixton), 150 (Brixton), 28s (Croydon), 12 (Downham), O’Lanna (Lewisham)","M20 (Penge), SG (Grove Park), Silwood Nation (Rotherhithe), Monson (Deptford)",
ZONE II ,"Zone 2 is a Renegade Set located in Peckham on the North Peckham Estate in South London. They have been active since 2015. In previous years before their beef with Moscow 17 most members where from QueensPark and were all good friends. A common mistake is people think HitSquad and YPB are a all the same however they are 3 different sets which move as one HitSquad has all the active gms, YPB are the olders and Zone 2 consists of Rappers & Trappers. They also go by #PeckhamBosses , #Zone2Pecks and #Peckham.","410 (Brixton), NPK (Tottenham) , 12Anti (Shepherds Bush)","Moscow 17 (SouthWark) , Harlem(Kennington) , AY (Aylesbury), SNR (Leyton/Peckham), 3×3 (Edmonton),Bside (Bellingham),Browning17.",GB (Moscow 17)
410,"410 is a set located in South London in Brixton on the Notorious Myatts Field Estate, Previous OC was the Gang that was mainly active in the Myatts field area however when most older members got locked up some of the younger decided to make 410 which was a set for the younger generation, they have been active since the year 2012, some OC members now rep 410. They also go by #CrashGang , #Fields , #FBlock , #OC , #Bagdad , #GreenGang ,#Original10Men,#CrashCity and #410Fiddy.","150 (Brixton) , CT (Clapham) , 37/OJB (Clapham Junction), 17Wano (Wandsworth) , UpTop/UTH (Upper Tulse Hill) , Zone 2/YPB/Hitsquad (Peckham), 28s (Croydon),CMG (Brixton) , AD (Brixton) , Block 6 (Catford) , AR (Turnham).","Harlem (Kennington) , Moscow 17 (SouthWark) , KuKu (Kennington) , RP (Roupell Park), 674 (Brixton Hill) , LTH/86 (Lower Tulse Hill). . .",
CGM / 1011,"CGM is a gang located in West London in the Ladbroke Grove area in the Portobello Estate, previously they were apart of the 916 which was a set of gangs built up from Ladbroke Grove, Shepherds Bush and Acton. However after a situation they split into different sets and became there own gangs however CGM in itself has been active since 2011, but came to light around 2017. They also go by #1011 , #10Side , #Grove , #Block10 and #Strip10."," PBlock (Ladbroke Grove) , RL (Rayners Lane) , 3rd (Acton).","12World (Shepherds Bush) , 12Anti (Shepherds Bush) , NGang (Northolt) , (Tottenham) , Harlem (Kennington) , Mozart. . .",
RAYNERS LANE,"Rayners Lane/ Real Lives (RL) are a gang from South Harrow, HA2. They also go by the name FLB (Fast Lane Boys).

They have been active for at least 10 years and are mainly based on the Rayners Lane Estate but are also active in other parts of South Harrow including the King’s Road area.","CGM (Ladbroke Grove), SCG (Wealdstone)","156/ Southall, 156/ Northolt, 156/ Greenford, 9th Street (Grahame Park)",
156,"156 are a gang spread across the London Borough of Ealing with the largest set being in Northolt (NGang) (UB5), also known as Zone 5, and smaller sets in Greenford (UB6) and Southhall (UB1).

They are most active on the Medlar Farm, Radcliffe Way, Islip Manor and Racecourse estates.

They are part of the 156 alliance after the postcodes of Southall (olders) (UB1), Northolt (UB5) and Greenford (UB6).","12 World/ 12 Anti (Shepherds Bush), TPL8 (Turnpike Lane)","Rayners Lane (South Harrow), CGM (Ladbroke Grove), YSG (Old Southall), #7 (West Drayton), Purple Hayes (Hayes), SCG (Wealdstone), 3rd Set (South Acton)",TerrorRL
ORIGINAL 3RD,"Original 3rd/ 3rd Set ♿ are a gang based on the South Acton Estate in Ealing, W3.

They formed in the mid 2010s as the younger generation of the South Acton set of 916/ MDP. For many years gangs from South Acton and Shepherds Bush were close allies, however the current younger generations are now enemies. ",CGM ♿ (Ladbroke Grove),"12World/ 12Anti🩸(Shepherds Bush), Purple Hayes 🟣 (Hayes), 156 ⚫ (Northolt/ Southall/ Greenford)",
HRB,"HRB (Harrow Road Boys) (🩸) are a gang based around Harrow Road on the Mozart estate, however they also claim Queens Park, Avenue Gardens and Lydford estates and Ashmore Road, within the W9/W10 postcodes.

They are also known as Mozart, Zart, Mexico, Mozart Bloods, and PG (Park Gardens) and have historically flagged the colour red, in reference to the red bricks that used to make up the estate, and the fact that they shared a close alliance with the 031 Blood set from Brixton, CFR. They were also part of the SMG Blood alliance along with (S) St. Raphs, (M) Mozart, (G) Kensal Green.

Before the Mozart Bloods, the area boasted several smaller gangs based along Harrow Road known as the “Horror Road Alliance”. Sets included the Grimiest Movement, Street Dreams, who wore brown, Grey Dayz who wore grey and C.R.I.M.E (Can’t Roll In My Ends) who wore blue.

The area has been notorious for violence and drug dealing, being nicknamed “Crack City” in the mid 90s.","KG🩸(Kensal Green), SRS🩸(St. Raphs), CRS🟣(Church Road), Warwick🟤/🩸 (Harrow Road), OKB🩸(Kingsbury), UpTop6🩸(North Kilburn), PRS🩸(Press Road), WFD🩸(Wembly), 12World/ 12 Anti🩸(Shepherds Bush), 37OJB 🟡 (Wandsworth)","CGM ♿ (Ladbroke Grove), SSK ♿ (South Kilburn), USG ♿ (Stonebridge), LG8 🟢 (Lisson Green)",
12WORLD/12ANTI,"12 World and 12 Anti (🩸) are two sets that operate across the areas of Shepherds Bush in the London Borough of Hammersmith & Fulham, W12, and parts of Acton in the London Borough of Ealing, W3.

12World are based on the White City Estate and 12Anti are based on the Becklow Estate, however members of both sets are close and freely cross turfs. Shepherds Bush gang members are also active on Emlyn Gardens and Cleverly estates in Shepherds Bush and the Trinity Way and Friary Park estates in Acton, W3.

Both sets were formerly part of the gang 916, also known as MDP, along with the South Acton based 3rd Set.

MW/ MH (Most Wanted/ Most Hated), is a set formed by member S1 as a means of focusing on music.","156/ Ngang (Northolt), 156 (Southall), 156 (Greenford), HRB (Mozart)","CGM/ 1011 (Ladbroke Grove), 3rd Set (South Acton), Purple Hayes (Hayes), #7 (West Drayton)",
PECKWATER,"Peckwater are a gang located on the Peckwater Estate of Kentish Town, Camden, NW5. They’re a larger set with around 30-35 members.

They are 1/3 of the gang 51st along with Queens Cresence and Cumbo.","Cumbo, Queens Crescent","Active Gang (Agar Grove), CT1 (Camden Town), FSG (Chalk Farm), NRB (North Road)",
ACTIVE GANG,"AG (Active Gang), are a gang from the Agar Grove Estate in Camden, NW1. Members are predominantly of Somali and north African origin. Despite being a fairly small gang, they are known for their extreme violence and their very active beef with the 51st sets. They have also recently been blowing up musically.","CT1 (Camden Town), FSG (Chalk Farm), NRB (North Road), TPL8 (Turnpike Lane)","51st/ Peckwater (Kentish Town), 51st/ Cumbo (Regents Park), 51st/ QC1 (Queens Crescent)",
CUMBO,"Cumbo are a gang based on the Cumberland Market and Regents Park estates in Camden, Regents Park, NW1.

They are 1/3 of the 51st gang alliance, the “1” being reference to their NW1 postcode, with Peckwater and Queens Crescent being NW5.

In previous years they were known as The Cumbo Boys and were originally a predominantly white gang that formed as an offshoot of the Somers Town Boys gang. The Cumbo Boys would become their own independent set in the 1990s, and was one of the most ethnically diverse. The current generation are predominantly of Congolese origin.

Around 2007/08 their close association with QC Blox saw the Cumbo Boys begin to refer to their gang as the Cumbo Blox and adopt the red gang colours and begin to claim Blood affiliation

However, over time two sides would come into conflict and Cumbo Boys would start to identify as Crips and the colour blue. During this period Cumbo Boys gang members changed the name of the Cumbo gang to SOC (South of Camden).","51st/ Peckwater, 51st/ QC","Active Gang (Agar Grove), CT1 (Camden Town), FSG (Chalk Farm), NRB (Holloway)",
9TH STREET,9th Street (🩸)is a gang of Bloods located in North West London in the notable Grahame Park Estate. They were a set made after the disbandment of the larger and inactive set 3BP. They also identify as a set under the London Bloods denomination/affiliation.,"CGM(Ladbroke Grove) , SSK(South Kilburn) , TPL8thSide/DC8(Turnpike Lane) , USG/SGB(Stonebridge)","CRS(Church Road) , OKB(Kingsbury) , 3BP(Hendon) , Str8 Hustle(Harrow) , 22(Wood Green) , 9/3×3(Edmonton) , RL(Rayners Lane) , TFL(Kingsbury)",Sparkz(RL Affiliate)
CHURCH ROAD,"Church Road is a neighbourhood between the Harlesden and Willsden sections of the London Borough of Brent, NW10.

They are most active on the Church End and Roundwood estates and go by several different set names, including ‘Crime Scene Boyz’ (CSB), Church Road Soldiers (CRS), and ‘Ice City Boyz’ (ICB).

They have historically identified with the colours purple and blue.

The gang formed in the mid 1990s as a younger generation of several Jamaican ‘Yardie’ crews who were active in the Harlesden area dating back to the 80s.

The older generation from Church Road were affiliated with nearby Bruce Road and the northside of Stonebridge.

The older generations tended to be Jamaican born, or British born of West Indian parentage, however the current generation have members of African, Middle Eastern and other nationalities.","HRB (Mozart), St. Raphs (Neasden)","SGB/ USG (South Stonebridge), NSB (North Stonebridge), SSK (South Kilburn), 1011/ CGM (Ladbroke Grove), 9th Street (Grahame Park), KGR (Kensel Green), Chalkhill (Wembly), MPM (Monks Park)",
